,Transaction_ID,Date,Month,Location_ID,Product_ID,Sales_Channel,Units_Sold,Unit_Price,Revenue,Donations,Total_Revenue
0,17edc677-558d-42d5-b0ba-33000dbb6ee0,4/12/2024,April,1,1,Retail Store,11,488.43,5372.73,0,5372.73
1,03237cb7-047c-407f-a8e3-f89b842b6906,12/14/2024,December,2,2,Retail Store,11,548.75,6036.25,0,6036.25
2,249866e4-b0b6-47fb-bf79-16a004a4b445,9/27/2024,September,3,1,Retail Store,8,392.23,3137.84,0,3137.84
3,b8dd4aa2-8afd-414e-b851-b94e6474c99d,4/16/2024,April,2,3,Studio Services,11,180.44,1984.84,0,1984.84
4,2131bb88-a134-4fff-b33f-7813dc35be0a,3/12/2024,March,4,4,Online Store,8,793.12,6344.96,520.63,6865.59
5,bca15bf7-b52e-4134-adb4-f0e33afcbe8d,7/7/2024,July,4,4,Retail Store,12,404.43,4853.16,0,4853.16
6,b07c78e5-eea2-45d7-b7ea-9416a717f2e3,1/21/2024,January,4,1,Retail Store,8,557.8,4462.4,0,4462.4
7,bc95a8d9-fa87-4774-a0fd-cdf7ef48ee3c,4/12/2024,April,5,4,Retail Store,13,640.39,8325.07,0,8325.07
8,dd5afa84-8293-48f5-a949-1957a77eafa4,5/1/2024,May,6,1,Retail Store,6,561.75,3370.5,0,3370.5
9,ff7481bb-387d-45e5-959a-bb55ae2a22b3,8/2/2024,August,5,1,Online Store,14,358.28,5015.92,340.31,5356.23
10,9bf80507-4d3e-4f5b-8014-781180a94c9a,11/26/2024,November,5,3,Retail Store,9,731.95,6587.55,0,6587.55
11,87ccd9d9-4ab7-4505-97e3-1d12ca6d7078,3/28/2024,March,5,5,Retail Store,6,602.74,3616.44,0,3616.44
12,83ded894-21d9-42f3-abc9-3283be8cddfd,4/9/2024,April,5,5,YouTube Revenue,12,539.75,6477,0,6477
13,6e701196-d39f-4f28-920e-6b6c4871da86,12/25/2024,December,4,3,Retail Store,8,535.12,4280.96,0,4280.96
14,5cafdfeb-039e-4330-8f74-270d60130078,5/31/2024,May,3,1,Online Store,15,836.45,12546.75,241.76,12788.51
15,68fa4b17-1d13-448e-aa94-c3e34e17e886,5/10/2024,May,7,1,Online Store,15,353.99,5309.85,121.98,5431.83
16,f3391c24-66be-40e1-b4c5-45512ce7f50a,5/29/2024,May,5,5,Online Store,8,583.05,4664.4,793.98,5458.38
17,baf7323a-9009-4c9e-8bb7-4f6ab07454a3,11/4/2024,November,1,2,Online Store,8,394.27,3154.16,586.64,3740.8
18,9753e17d-abff-4393-9aaa-1d3f6a7f334c,9/14/2024,September,6,3,Online Store,16,112.74,1803.84,379.07,2182.91
19,b8509ba9-3c4c-4526-b126-889ad8f45bf9,12/9/2024,December,4,1,Studio Services,10,107.45,1074.5,193.14,1267.64
20,5d90b25d-0c8c-4bcb-9197-28c60b4a346d,10/20/2024,October,1,5,Online Store,7,297.07,2079.49,253.03,2332.52
21,bcf84a1a-676e-41ee-ba1f-20b3eeb241a0,7/10/2024,July,1,1,Online Store,14,368.31,5156.34,138.39,5294.73
22,41cc0e54-1e0b-4f40-a48c-3a7de6697049,10/3/2024,October,5,1,YouTube Revenue,13,934.59,12149.67,0,12149.67
23,f70723df-a7ff-46c7-be77-a359308f2762,6/9/2024,June,2,2,Online Store,8,639.68,5117.44,494.22,5611.66
24,111a1a7e-3a58-44ba-84a9-e4fb2f3d90b3,11/9/2024,November,1,1,Retail Store,9,657.67,5919.03,0,5919.03
25,1a395bc4-dc85-4baa-96c9-6c034e9d1eba,1/22/2024,January,6,1,Retail Store,16,372.58,5961.28,0,5961.28
26,235c2c76-451d-4d95-a693-0d7bf4ad2ddb,9/9/2024,September,5,3,Retail Store,6,512.27,3073.62,0,3073.62
27,d8ad728d-702a-4430-8a1d-e33e2a629872,8/23/2024,August,7,3,Studio Services,17,961.23,16340.91,325.7,16666.61
28,f8289504-45e4-472e-9f0a-4906a45dc721,12/10/2024,December,7,3,YouTube Revenue,12,257.12,3085.44,0,3085.44
29,d926ebca-fa18-417a-9f0a-40de0fd75329,2/18/2024,February,7,1,Studio Services,11,591.25,6503.75,197.3,6701.05
30,a2e9b878-377c-4ad4-857d-980b96af13ee,2/28/2024,February,7,1,Online Store,9,822.26,7400.34,400.89,7801.23
31,1e85e1bb-4c9d-46fe-bb7f-05398e53506e,6/18/2024,June,7,1,Online Store,7,693.19,4852.33,254.37,5106.7
32,3d62b2f8-43a7-421a-aaf4-c63670060510,7/6/2024,July,5,1,Retail Store,11,860.31,9463.41,0,9463.41
33,1c6e4b34-8eab-4371-bdb3-a9f4b3772c92,9/27/2024,September,5,3,Online Store,14,542.57,7595.98,399.24,7995.22
34,0bef4e94-b410-44e5-8e89-c38071ef8316,7/8/2024,July,3,2,Online Store,12,620.69,7448.28,341.36,7789.64
35,9740ffc0-70bb-414b-8716-7cc4f18218d0,6/23/2024,June,1,2,Studio Services,5,521.95,2609.75,375.65,2985.4
36,5adaeeec-3094-47f6-a3e0-40ab1cb8fb81,2/20/2024,February,2,2,Retail Store,13,606.67,7886.71,0,7886.71
37,909e9b52-aeef-4db3-b04a-47e6a33ae692,12/29/2024,December,3,5,Online Store,4,316.96,1267.84,1061.81,2329.65
38,ee8ee66e-d483-4df9-bee9-7cf3d4ff1294,2/24/2024,February,6,3,Online Store,5,658.47,3292.35,375.79,3668.14
39,7f84ac83-1935-4327-bd7c-94e02afbe2e9,8/31/2024,August,4,5,Online Store,11,558.85,6147.35,438.37,6585.72
40,463d3af4-4771-43cd-8116-5cbb4665d209,11/15/2024,November,6,5,Online Store,9,512.53,4612.77,761.39,5374.16
41,22d979ca-53ed-4b13-8f09-f2bd819c950c,5/10/2024,May,1,5,YouTube Revenue,7,849.28,5944.96,0,5944.96
42,b5e0e9ae-4950-4dd3-a2be-fad9008e2e5e,11/2/2024,November,3,1,Retail Store,5,446.92,2234.6,0,2234.6
